Hotel Name,Management Company,Date Reported,Current ,Type,Description Short,Description Short Long
AC BY MARRIOTT GAINES DOWNTOWN,McKibbon,10/30/2025,Y,Issue,Marriott Activator Score,87.5
Courtyard By Marriot Indianapolis Fishers,Dunn hospitality,4/21/2025,Y,Issue,Booking.com Content Score,
Courtyard By Marriot Indianapolis Fishers,Dunn hospitality,4/21/2025,Y,Issue,Low Activator Score,
COURTYARD BY MARRIOTT READING,Concord,10/30/2025,Y,Issue,Marriott Activator Score,90
Courtyard By Marriot Indianapolis Fishers,Dunn hospitality,10/30/2025,Y,Issue,Marriott Activator Score,75
Courtyard Jacksonville Beach Oceanfront,McKibbon,4/21/2025,N,Issue,Low Activator Score,
Courtyard Jacksonville Beach Oceanfront,McKibbon,5/16/2025,Y,Tatic,"Continue tracking progress on upgraded website, as well as scheduling a photo shoot for the completed model rooms.","Reaching out to photographer network to find next availability and pricing
 Scheduling meeting with GM & DOS to gather additional content needed for upgraded website"
Courtyard Jacksonville Beach Oceanfront,McKibbon,5/17/2025,Y,Tatic,Low Marriott activation score of 65,"RMs are working with TeDra/Lisa on action plans and have provided them those specific plans during monthly P&L Calls and Property Visits
 
eCommerce reviewing M.com opportunities outside of existing plans (upgraded website, model room photography)"
Courtyard Jacksonville Beach Oceanfront,McKibbon,5/18/2025,Y,Tatic,SEO Linkbuilding,"Completed training with DOS
 Monthly follow up scheduled on 5/13 to review progress"
COURTYARD MARRIOTT GREENSBURG,Concord,10/30/2025,Y,Issue,Marriott Activator Score,23
COURTYARD MARRIOTT OCEANFRONT,McKibbon,10/30/2025,Y,Issue,Marriott Activator Score,75
Courtyard Pittsburgh Airport Settlers Ridge,Concord,4/21/2025,N,Issue,Low Booking.com Score & Expedia  ,
Courtyard Pittsburgh Greensburg,Concord,4/21/2025,N,Issue,Low Activator Score,
Courtyard Pittsburgh Greensburg,Concord,4/21/2025,N,Issue,negative RevPAR growth for brand & OTA  ,"We are seeing positive trends with strong YOY growth for April MTD: Brand.com RevPAR growth +32% YOY, and RPI growth of 38% YOY. (Comp Set saw -4.3% declines). OTA RevPAR growth is 61% YOY, and RPI growth of 50%. Discussing the poor March performance with the team.

For Brand.com, we added a new Pet Package and worked with our RM team on two new local packages in MBOP. For OTA, we do have an Accelerator in place. We saw some opportunity in Expedia for weekends in May and have scheduled ads built out (we also have a scheduled ad for the 4th of July weekend). We'll keep a close eye on the Travel Ads budget as there may be some room to increase it to drive incremental revenue.  We'll have a better read on as we progress through the month. "
COURTYARD PITTSBURGH SETTLERS RIDGE ROBINSON TOWNSHIP,Concord,10/30/2025,Y,Issue,Marriott Activator Score,75
Courtyard Reading Wyomissing,Concord,4/21/2025,N,Issue,Low Activator Score,RevPAR vs LY is pulling this below our standard (all other factors for Activator score are Green) - working with RVPS and RM to address
Courtyard San Diego Little Italy,Schulte Hospitality,4/21/2025,N,Issue,"Needs more content POI for website, current ROI low  Media ",
Courtyard Washington Meadow Lands,Concord,4/21/2025,Y,Issue,Low Activator Score,"For CY Washington, they are having an issue in One Source where the system isn't closing out RFP responses timely, even when the DOS has responded to the lead. Which is affecting that activator score. RVPS is aware, escalating it with Marriott. 

Resposne from Group
Group Response Time is impacting the activator score - working with RVPS and the property team to address"
Element Nashville Vanderbilt West End,Aimbridge,4/21/2025,Y,Issue,Large drop in OTA production,
Element Nashville Vanderbilt West End,Aimbridge,5/28/2025,Y,Tatic,Current tatics ,"Action Items
Audit brand.com for stale content
• Highlight shuttle service on HWS
Focus paid search efforts on high traffic
POl terms
Increase Google Search budget for May-
From $700 to $1200
• Implement MetaSearch Ads
Optimize on-page SEO for Events page
List meeting space on Eventcentive &
Peerspace
EMMA Campaign to target group
Review event schedule and setup additional
scheduled ad campaigns
Work with hotel for additional marketing
opportunities for events: promos, email
marketing, collateral
OTA:
• Content Scores:
• Expedia: 100%
• Booking: 100%"
Element Nashville Vanderbilt West End,,10/30/2025,Y,Issue,Marriott Activator Score,71
Element Nashville Vanderbilt West End,,10/30/2025,Y,Issue,Brand.com Index,71
Element Nashville Vanderbilt West End,,10/30/2025,Y,Issue,OTA,60
